,(Everything I Do) I Do It for You,7 Rings,A Whiter Shade of Pale,All About That Bass,All I Want for Christmas Is You,Bad Romance,Bei Mir Bist Du Schön,Blurred Lines,Call Me Maybe,Chirpy Chirpy Cheep Cheep,Dance Monkey,Despacito,Earth Angel,Gangnam Style,Girls Like You,Grenade,Havana,Hips Don't Lie,I Took a Pill in Ibiza,I Want to Hold Your Hand,I Will Always Love You,I'm a Believer,If I Didn't Care,In the Summertime,Kung Fu Fighting,Lean On,Let It Go,Love Me like You Do,Love on the Brain,Love Yourself,Macarena,Moves Like Jagger,Mundian To Bach Ke,My Heart Will Go On,My Sharona,My Sweet Lord,Needed Me,Old Town Road,One Dance,Right Round,Rock Around the Clock,Rock Your Baby,Rolling in the Deep,Rudolph the Red-Nosed Reindeer,See You Again,Shape of You,Silent Night,Somebody That I Used to Know,Something Just Like This,Sweet Mother,Tennessee Waltz,The Last Farewell,Thinking Out Loud,Thrift Shop,Un-Break My Heart,Uptown Funk,Wabash Cannonball,Waka Waka (This Time for Africa),We Are the World,Y.M.C.A.,"Yes Sir, I Can Boogie",You're the One That I Want
10,4.519828029213808,2.6402039062828933,5.547759709431227,3.789774595213578,6.044562535393935,4.3214533316903525,4.427597735376764,4.153721810005052,4.727410452452791,6.177809164583252,1.0,2.093618009645801,5.154879725084836,5.319077082260074,3.668623833131305,3.962373207207498,3.516093092592343,3.704139232697813,2.953278776530694,5.598362176612494,7.385081699489278,4.827160943179626,5.085819193693366,5.213046442114462,7.66909613141246,15.518905793478554,3.930733156917101,4.466623038024023,2.401895340276826,4.119348833740302,7.384849911391259,4.538544117409542,3.900581679637044,3.9448426793545135,4.095312692527448,4.103458887291819,2.602920600050263,2.826784882021624,1.738227977178029,4.3485005846112585,5.656082775354525,9.13841285672414,4.137182963034039,6.946917103971417,2.663491595591499,4.026510583979313,3.833711263458045,6.405745514843266,5.4535603278671525,3.2965691715548724,4.710981873288237,8.026645329128339,4.743259286359816,5.093147879320373,3.9081272427852554,4.843444761234135,3.484046696195388,3.32109812061284,8.031044673554083,5.707621182019667,3.451445840924107,3.650515349191183
11,5.609566937329107,3.050350470811344,6.883452539551654,5.222322793933219,6.345503979467097,5.836491099001304,4.511139252371389,4.751978651865345,5.184865625215646,6.241058404157497,2.093618009645801,1.0,5.228478582738466,5.319601432220487,3.824080465292001,5.766556391970582,3.81677483604035,5.276004993931072,3.207768955209709,6.108304554994023,7.804061537201994,5.414769721407347,5.556409600538773,6.919434780842866,8.578772866776914,14.398903339509362,4.285593551111499,4.602135206994706,2.599920897097709,4.592724806092487,10.934958827045872,5.8459087077048615,5.105406485345532,5.236283806157626,4.4319037335063225,6.332752551740373,3.096621368009303,2.628049185343884,2.070276948043016,4.03339319527526,5.698928619895636,9.17486338655843,4.451010410608099,6.794348309979751,3.549406034023144,4.20540265761751,4.510318715787162,7.273750363043115,4.996504941985272,3.5733899408750918,4.807838662167822,8.240584287662248,6.240558240306107,6.499637830154338,4.444982909933515,5.466324553039942,3.5057667423357124,4.297528213493843,7.127484670103913,6.071771315644195,3.8801893814849095,4.911052762590193
12,5.122118907018934,4.6326891168621485,5.379709431324599,6.621654840999995,5.575003572450749,5.685093274087924,4.748252775623454,4.912281110695641,3.495995780794335,4.513221036315223,5.154879725084836,5.228478582738466,1.0,5.703816271329844,5.404541428621122,5.108893974340576,4.4297848683395165,6.925651716818748,4.717571526066181,4.236860835234817,6.523055192912272,4.841825829946808,4.350009986966605,5.947060189105264,6.119477750124717,11.652153508203114,6.691772302712712,4.374391262016909,5.359844194482946,5.1711304498193,7.951566431775077,3.9539206335464208,3.6701914927728896,5.063002189075704,4.353861913148394,5.233805193403657,4.918015714557551,4.854560755798207,4.669093875337388,3.2587004448416264,3.8634253668381127,7.667276006980658,4.092467669915108,5.65223565452604,4.916454400677033,4.555470878157092,5.241781462652141,5.001625094318875,5.373202732304398,5.533761476986039,5.403557368905388,7.606873711917289,5.130568474681329,5.724018884665085,4.486767316164342,4.299073581894827,3.821601330901767,6.748049035381673,6.853095085578353,4.286276307079636,5.876993955253793,4.431512266245873
13,1.4696919380833864,3.4866960688621687,1.374870633918874,1.5600603859991726,5.853867563551722,1.414190483737166,1.4964301890040774,1.953753956099869,4.488629942455981,6.533537217150678,5.319077082260074,5.319601432220487,5.703816271329844,1.0,7.202054558762683,5.955692547565643,7.744077171725571,1.485967367881471,4.77944853644377,6.758695162998918,1.1526268790702547,3.768096275213445,2.149286165857529,8.713267520043555,1.1249044514536244,19.22145938835098,1.6572550454465274,2.9435340547060544,7.346139869116997,6.753009487648656,12.802482776305006,3.5246343428519977,3.919767607898759,1.890717539032185,5.065994792059196,3.0704415502456293,5.183322765156459,4.962199227719412,4.827578725260598,5.46505316322104,5.994707918832324,1.2374713252159666,4.117508422164154,6.937405621512501,4.403959875980438,6.359531192580552,2.052110077604575,8.02864439173375,5.393973728981327,2.8418902141175133,1.4015599527944826,13.063755500179052,1.7171432667486746,1.2569597763871965,2.343402693553009,2.7211425526276165,4.792846832663034,1.415223159028591,1.553137293639821,5.355515997863651,2.434856038580061,2.190957535043577
14,5.587282032244555,1.6144774936093826,6.0870137261425015,4.069889074744488,7.005635704264384,4.073024735492494,4.996387040751448,4.390185631502861,5.731451774552643,6.766999515388963,3.668623833131305,3.824080465292001,5.404541428621122,7.202054558762683,1.0,3.7943705592573815,3.9606956270356335,3.722960439989166,4.227441545175108,6.169489814004119,7.435375910322437,5.155487703483475,6.900253271161239,5.868653689319932,8.414797755758505,15.697960339949846,4.843311414920289,5.442187248338725,2.859891609295317,4.674875933811381,8.665969209990976,5.469641143404269,3.541735978739481,4.439167161361452,5.978894486957326,5.049614582817431,1.572095506438363,3.088378250024391,3.20068216996288,4.61655578520139,6.2349930346351226,9.749649641393429,4.660472532762855,7.868891285943984,2.569941729415317,5.311344991557832,4.848630761976726,7.582525013132114,5.783514485062659,4.031363262195796,6.131787528864241,8.855166153716254,4.355722767973943,4.701018800147259,4.35048406653085,4.779943522923315,5.00837874285275,3.3848622312823653,8.787317320345451,6.447569112823471,3.7202053839418494,3.599424820283136
15,4.970926508118163,4.594611782443731,5.535357607294335,5.106406427004922,6.437397275882049,6.191438614704913,6.011394952927713,4.145770348473669,5.051492018585369,4.769306977348451,3.962373207207498,5.766556391970582,5.108893974340576,5.955692547565643,3.7943705592573815,1.0,4.669980256287242,5.828970399086691,6.243449664987901,4.459663301356359,5.568672424696832,4.533824830520807,4.4357927742474255,3.6179631798460954,5.953170683337056,20.636184687518824,6.323824386691276,6.463046284879292,4.72377916643238,3.7829989612377086,6.3222865374105455,5.075921522977815,4.061089255097049,4.858095614160038,4.659724182340028,3.6577924921308114,6.109477996632912,4.928094522129101,6.957946032429223,4.582268591114394,5.224974583170838,8.840916388353737,5.122259274818443,7.752338618273834,3.053455884022255,8.668360457839219,4.821596290404997,4.560207460909907,8.880316029106512,5.681296982340815,4.573918496828297,8.252522736203458,6.5074912884718925,5.223671777216968,5.210992455645613,7.569169980724386,4.165849648436279,5.310796670150952,6.835499713354647,5.411664460254053,3.807051709664944,4.899564103006147
16,5.84988911219734,3.850002743718583,6.449152978853215,6.101827556536885,5.324935048869448,5.523299839658096,5.675958558038668,5.076085560363606,4.405301858289588,5.325449811988872,3.516093092592343,3.81677483604035,4.4297848683395165,7.744077171725571,3.9606956270356335,4.669980256287242,1.0,6.039013104327932,4.131342601873355,4.918654567721387,8.299709755864347,5.186073871347081,5.432116856616254,5.116522072088762,8.514333094631567,14.6222175074083,6.017660795463048,4.618509614818921,3.655829674858341,3.753665213519997,7.835891237183957,4.719087747306218,4.805754388421752,5.2789758435615335,4.064338986837076,5.27322768816914,4.028941775974665,3.716622667409441,3.91121166023148,3.633222891537248,4.721581339273169,10.516250194199213,4.089221691243101,5.487626345268135,4.4013327744111415,4.3298175839488575,5.40606977182748,5.274694215715738,5.6044127735382485,4.290388012254522,6.015389137639632,7.320468702447284,5.654970722827873,5.917802817409484,4.922911803770647,5.154642365051164,3.6420950183485687,5.934243684959252,9.260601196256532,5.592499354105682,4.966432153816682,4.76316357240956
17,1.6648557609877268,1.7103851938639525,1.3891546533244536,0.5395576376228888,6.826737181894005,0.9301552900368965,1.909375546781092,2.6077341536445804,5.792598908146444,7.243637983966681,3.704139232697813,5.276004993931072,6.925651716818748,1.485967367881471,3.722960439989166,5.828970399086691,6.039013104327932,1.0,4.838573198476143,7.300077260966664,1.6883917221086746,4.055639601539396,3.022817375422407,7.853397864214874,0.8332799590867936,21.320645683078723,1.550582809905933,4.718733381335736,6.7894675023696,5.1912604235555895,10.533678373221292,4.805913667558333,4.429732806395713,1.8179111189829615,5.091184576405468,3.1320008222120923,1.8753236708891483,5.011636450910348,3.2454786150707835,6.247208488033618,6.369941015568714,0.6994501173492087,5.031277762367711,7.552470724904684,2.740199667636204,7.817282598033518,2.246506288436498,8.310843977285524,5.57337638685318,3.250502034479529,1.636774945581626,11.60598909112427,1.0385902334151575,1.0262013201874056,2.926433273810011,3.733191608930177,5.190481932556226,0.4129775507132627,1.0732700116952436,5.75145809966775,2.8943184521468464,1.991254404327903
18,5.00147684389056,3.432932726283336,5.355297500781508,4.504431337067832,5.198374372564675,4.93205496982239,4.094870866207893,3.353913604879774,4.1582348511521365,6.08758197946837,2.953278776530694,3.207768955209709,4.717571526066181,4.77944853644377,4.227441545175108,6.243449664987901,4.131342601873355,4.838573198476143,1.0,5.84893646748481,6.972363801491307,4.652235723893004,5.109882452563704,8.118119023411518,7.401089912305501,15.698454350913996,4.5746636111980274,3.807287633269631,3.783636148827904,4.735197499320677,12.66451539766819,4.488336750662788,4.412564886937131,4.366632262525891,4.354192096726961,5.913804542084847,3.8451747938490586,3.3367242179727685,3.186442426971416,3.973540871741623,5.113631993551183,9.480754959191808,3.068013670805421,5.575243179456336,2.804796748582501,4.785913874433584,3.83941624682626,7.6346509489905054,5.967155527089775,2.3164532768448467,4.048830231915608,8.55088612282072,5.476687741415977,5.6808328709251015,2.7866898540840626,5.616089846733489,4.001106869114662,4.224673367163926,7.712034989378869,5.082480514425953,2.9690744798372566,3.8392072118068503
19,6.331655882492507,6.017579538600213,5.777552703547317,7.241129701197611,5.066713063862597,6.380664249084565,5.959979836406022,5.589441475697421,4.318097738900189,4.258910410475723,5.598362176612494,6.108304554994023,4.236860835234817,6.758695162998918,6.169489814004119,4.459663301356359,4.918654567721387,7.300077260966664,5.84893646748481,1.0,6.731107275301298,4.766110059527215,4.716560670529242,4.700032041494008,6.793338492139595,15.493793765947888,6.974823374447058,5.660605150428624,5.873243307442605,4.726751433607683,6.821695037144961,4.591529357415976,4.382191854445376,5.325806953968124,4.52109737534116,4.963592466678982,6.0429734170974845,5.669454447844526,6.208045030923735,4.656092682585912,4.404262364850596,8.878621874888402,4.221293072541442,5.556551719049658,5.233617678732868,5.704511359597586,4.906218890795598,3.9622886101713046,6.870705537957675,5.752320508181952,5.90893102971032,7.135129573692095,6.059865481464204,6.024982072583613,5.663536469670943,5.729852142280288,4.776504698979117,7.015463852556676,7.715506643448922,4.596049272308375,5.814674711372346,5.527449267414504
