,Music1,Music2,Distance
154,A Whiter Shade of Pale,Love Yourself,63.71538325414604
155,A Whiter Shade of Pale,Macarena,91.49370440727529
156,A Whiter Shade of Pale,Moves Like Jagger,124.63939725496364
157,A Whiter Shade of Pale,Mundian To Bach Ke,51.960802035852005
158,A Whiter Shade of Pale,My Heart Will Go On,7.110784649718675
159,A Whiter Shade of Pale,My Sharona,13.141210605999266
160,A Whiter Shade of Pale,My Sweet Lord,9.470320904226437
161,A Whiter Shade of Pale,Needed Me,62.608905960153564
162,A Whiter Shade of Pale,Old Town Road,36.30379282811208
163,A Whiter Shade of Pale,One Dance,20.748881325567794
164,A Whiter Shade of Pale,Right Round,36.23836014567755
165,A Whiter Shade of Pale,Rock Around the Clock,24.7644512267749
166,A Whiter Shade of Pale,Rock Your Baby,78.26756117332097
167,A Whiter Shade of Pale,Rolling in the Deep,12.330921065239318
168,A Whiter Shade of Pale,Rudolph the Red-Nosed Reindeer,32.05084202808639
169,A Whiter Shade of Pale,See You Again,53.66511240793481
170,A Whiter Shade of Pale,Shape of You,25.061521932324492
171,A Whiter Shade of Pale,Silent Night,31.851456229502663
172,A Whiter Shade of Pale,Somebody That I Used to Know,8.359858497431617
173,A Whiter Shade of Pale,Something Just Like This,54.76822623680286
174,A Whiter Shade of Pale,Sugar,38.96921188448695
175,A Whiter Shade of Pale,Sukiyaki,10.387597930352792
176,A Whiter Shade of Pale,Sweet Mother,142.08056864721837
177,A Whiter Shade of Pale,Tennessee Waltz,65.16172452818782
178,A Whiter Shade of Pale,The Last Farewell,114.19645560407555
179,A Whiter Shade of Pale,Thinking Out Loud,25.113644048754903
180,A Whiter Shade of Pale,Thrift Shop,24.331181087643458
181,A Whiter Shade of Pale,Un-Break My Heart,30.887558306366525
182,A Whiter Shade of Pale,Uptown Funk,15.995958092717073
183,A Whiter Shade of Pale,Wabash Cannonball,60.216370760978684
184,A Whiter Shade of Pale,Waka Waka (This Time for Africa),8.649755955154133
185,A Whiter Shade of Pale,We Are the World,29.879109530756107
186,A Whiter Shade of Pale,Y.M.C.A.,244.68723048857552
187,A Whiter Shade of Pale,"Yes Sir, I Can Boogie",64.6832696652885
188,A Whiter Shade of Pale,You're the One That I Want,43.90331337082569
189,All About That Bass,All I Want for Christmas Is You,33.02534552008903
190,All About That Bass,Bad Romance,16.113885329137844
191,All About That Bass,Bei Mir Bist Du Schön,223.2907867022527
192,All About That Bass,Blurred Lines,24.78848957883519
193,All About That Bass,Call Me Maybe,11.2767614118485
194,All About That Bass,Chirpy Chirpy Cheep Cheep,55.91389895726136
195,All About That Bass,Dance Monkey,31.679448692578454
196,All About That Bass,Despacito,32.10090515621579
197,All About That Bass,Earth Angel,24.913821287318736
198,All About That Bass,Fernando,50.87168961564438
199,All About That Bass,Gangnam Style,41.60264674822317
200,All About That Bass,Girls Like You,71.45742479732743
201,All About That Bass,Grenade,31.42056763021141
202,All About That Bass,Havana,43.716724214601335
203,All About That Bass,Hips Don't Lie,19.89531232682126
204,All About That Bass,I Took a Pill in Ibiza,26.972368496923664
205,All About That Bass,I Want to Hold Your Hand,17.150593413699823
206,All About That Bass,I Will Always Love You,37.08280016472514
207,All About That Bass,I'm a Believer,15.937454462221735
208,All About That Bass,If I Didn't Care,83.18773015234412
209,All About That Bass,In the Summertime,96.80204226752281
210,All About That Bass,Kung Fu Fighting,19.449116094297338
211,All About That Bass,Lean On,16.035765382662163
212,All About That Bass,Let It Go,74.89133394102282
213,All About That Bass,Love Me like You Do,10.036348864293913
214,All About That Bass,Love on the Brain,71.53890885138915
215,All About That Bass,Love Yourself,71.28216329568876
216,All About That Bass,Macarena,68.49820964256587
217,All About That Bass,Moves Like Jagger,100.53858746762405
218,All About That Bass,Mundian To Bach Ke,29.52557567845426
219,All About That Bass,My Heart Will Go On,21.76699260191553
220,All About That Bass,My Sharona,15.05804350294164
221,All About That Bass,My Sweet Lord,19.795702508619023
222,All About That Bass,Needed Me,47.731835806898175
223,All About That Bass,Old Town Road,38.44746479698548
224,All About That Bass,One Dance,12.904912421377478
225,All About That Bass,Right Round,22.926636832120828
226,All About That Bass,Rock Around the Clock,12.503488867405181
227,All About That Bass,Rock Your Baby,49.64166247140277
228,All About That Bass,Rolling in the Deep,15.004694371052183
229,All About That Bass,Rudolph the Red-Nosed Reindeer,28.576161581908984
230,All About That Bass,See You Again,42.548101132709675
