,Article_1,Article_2,Similarity
220,All About That Bass,See You Again,0.8384103367608629
221,All About That Bass,Shape of You,0.9274452103524261
222,All About That Bass,Silent Night,0.8223081294320796
223,All About That Bass,Somebody That I Used to Know,0.8814387386990832
224,All About That Bass,Something Just Like This,0.880909341502907
225,All About That Bass,Sweet Mother,0.8455943859371998
226,All About That Bass,Tennessee Waltz,0.7860844562030301
227,All About That Bass,The Last Farewell,0.6711252524861211
228,All About That Bass,Thinking Out Loud,0.9036505291935385
229,All About That Bass,Thrift Shop,0.9020080007864931
230,All About That Bass,Un-Break My Heart,0.9143124254648101
231,All About That Bass,Uptown Funk,0.8916619055170241
232,All About That Bass,Wabash Cannonball,0.7783540656438136
233,All About That Bass,Waka Waka (This Time for Africa),0.913394448561212
234,All About That Bass,We Are the World,0.7585855646090724
235,All About That Bass,Y.M.C.A.,0.7370967060583847
236,All About That Bass,"Yes Sir, I Can Boogie",0.8148964686876116
237,All About That Bass,You're the One That I Want,0.8147745191306834
238,All I Want for Christmas Is You,Bad Romance,0.9256573644492097
239,All I Want for Christmas Is You,Bei Mir Bist Du Schön,0.8789126987451231
240,All I Want for Christmas Is You,Blurred Lines,0.9564626051699621
241,All I Want for Christmas Is You,Call Me Maybe,0.9588360967066483
242,All I Want for Christmas Is You,Chirpy Chirpy Cheep Cheep,0.8610411157471001
243,All I Want for Christmas Is You,Dance Monkey,0.830507908526002
244,All I Want for Christmas Is You,Despacito,0.9366547544575801
245,All I Want for Christmas Is You,Earth Angel,0.927501599768752
246,All I Want for Christmas Is You,Gangnam Style,0.8788415600539439
247,All I Want for Christmas Is You,Girls Like You,0.9391452392368835
248,All I Want for Christmas Is You,Grenade,0.7612902816033765
249,All I Want for Christmas Is You,Havana,0.7597630161217802
250,All I Want for Christmas Is You,Hips Don't Lie,0.9349597770293948
251,All I Want for Christmas Is You,I Took a Pill in Ibiza,0.9012333674673217
252,All I Want for Christmas Is You,I Want to Hold Your Hand,0.8892295727795237
253,All I Want for Christmas Is You,I Will Always Love You,0.9119359957577341
254,All I Want for Christmas Is You,I'm a Believer,0.9025306116605116
255,All I Want for Christmas Is You,If I Didn't Care,0.8377180507467736
256,All I Want for Christmas Is You,In the Summertime,0.849792332998538
257,All I Want for Christmas Is You,Kung Fu Fighting,0.8909946114151213
258,All I Want for Christmas Is You,Lean On,0.9259840520109743
259,All I Want for Christmas Is You,Let It Go,0.9192398700043163
260,All I Want for Christmas Is You,Love Me like You Do,0.9395757326094423
261,All I Want for Christmas Is You,Love on the Brain,0.9514069969703995
262,All I Want for Christmas Is You,Love Yourself,0.9484445208605881
263,All I Want for Christmas Is You,Macarena,0.8794678451667355
264,All I Want for Christmas Is You,Moves Like Jagger,0.9494168066875933
265,All I Want for Christmas Is You,Mundian To Bach Ke,0.849095890326181
266,All I Want for Christmas Is You,My Heart Will Go On,0.9102270343419422
267,All I Want for Christmas Is You,My Sharona,0.9245551153904058
268,All I Want for Christmas Is You,My Sweet Lord,0.9282054372438188
269,All I Want for Christmas Is You,Needed Me,0.9476663634888132
270,All I Want for Christmas Is You,Old Town Road,0.8683422092580109
271,All I Want for Christmas Is You,One Dance,0.9324059805978944
272,All I Want for Christmas Is You,Right Round,0.9316065933790466
273,All I Want for Christmas Is You,Rock Around the Clock,0.9103531470242409
274,All I Want for Christmas Is You,Rock Your Baby,0.8624367468703577
275,All I Want for Christmas Is You,Rolling in the Deep,0.9641315390071042
276,All I Want for Christmas Is You,Rudolph the Red-Nosed Reindeer,0.800112297475506
277,All I Want for Christmas Is You,See You Again,0.9204805335509365
278,All I Want for Christmas Is You,Shape of You,0.9413049672012771
279,All I Want for Christmas Is You,Silent Night,0.8895848617621919
280,All I Want for Christmas Is You,Somebody That I Used to Know,0.8986345323628876
281,All I Want for Christmas Is You,Something Just Like This,0.9431632017546042
282,All I Want for Christmas Is You,Sweet Mother,0.9217641108595163
283,All I Want for Christmas Is You,Tennessee Waltz,0.9092442131673102
284,All I Want for Christmas Is You,The Last Farewell,0.8644962529574249
285,All I Want for Christmas Is You,Thinking Out Loud,0.9419656946170477
286,All I Want for Christmas Is You,Thrift Shop,0.9530481834418074
287,All I Want for Christmas Is You,Un-Break My Heart,0.9472262449038505
288,All I Want for Christmas Is You,Uptown Funk,0.9467833930380968
289,All I Want for Christmas Is You,Wabash Cannonball,0.880388291361133
290,All I Want for Christmas Is You,Waka Waka (This Time for Africa),0.9292780335644933
291,All I Want for Christmas Is You,We Are the World,0.8850862131349438
292,All I Want for Christmas Is You,Y.M.C.A.,0.8381068231969377
293,All I Want for Christmas Is You,"Yes Sir, I Can Boogie",0.9077292077488385
294,All I Want for Christmas Is You,You're the One That I Want,0.908926768607175
295,Bad Romance,Bei Mir Bist Du Schön,0.854998240012561
296,Bad Romance,Blurred Lines,0.947017938780678
297,Bad Romance,Call Me Maybe,0.9434842684137252
298,Bad Romance,Chirpy Chirpy Cheep Cheep,0.8421088350034698
