,linkshere
369,Soul Calibur II HD Online
370,Characters of The Legend of Zelda
371,List of backward-compatible games for Xbox One and Series X/S
372,The Legend of Zelda: Tri Force Heroes
373,Outcast (TV series)
374,Linkle
375,D.I.C.E. Awards
376,List of local multiplayer video games by system
377,User talk:LunchBuddies
378,Batman/Spawn: War Devil
379,I Hate Fairyland
380,Wikipedia:Articles for creation/Redirects and categories/2016-06
381,The Legend of Zelda: Art & Artifacts
382,Eric Stephenson (publisher)
383,List of Bandai Namco video game compilations
384,User:Banak/Unfixed Anchors/Feb 2017
385,Evo 2004
386,User talk:2604:2000:A8C0:5100:752B:3E75:E451:CD3D
387,Soulcalibur VI
388,Wikipedia:Wiki Ed/Salem State University/Media Literacy (Summer Session II)
389,Taiko no Tatsujin: Drum 'n' Fun!
390,Draft:Spawn (upcoming film)
391,User:TheBuddy92/List of PlayStation 2 games with alternative display modes
392,List of Xbox 360 games (M–Z)
393,The Legend of Zelda: Link's Awakening (2019 video game)
394,Cadence of Hyrule
395,Water Temple (Ocarina of Time)
396,User:Major Video game Association/sandbox
397,User:Abryn/Tingle's Balloon Fight DS
398,List of PlayStation 2 games (L–Z)
399,Talk:List of video games considered the best/Archive 3
400,Yasuhisa Yamamura
401,Urbosa
402,User:ArcAngel/sandbox
403,Die (comics)
404,Template:Image Comics
405,Crossover (Image Comics)
406,User talk:41.251.149.139
407,Hyrule Warriors: Age of Calamity
408,2B (Nier: Automata)
409,Impa
410,List of PlayStation 3 games (Q–Z)
411,Draft:Morshu
412,Invincible (comics)
413,The Legend of Zelda: Tears of the Kingdom
414,The Legend of Zelda: Twilight Princess (manga)
415,Draft:Sam and Twitch (TV series)
416,User:Y-S.Ko/Wikipedia course/Family
417,Mipha
418,Prince Sidon
419,Draft:Eight Billion Genies
420,User:Rlink2/Music 5
421,Radiant Black
422,The Legend of Zelda Encyclopedia
423,The Legend of Zelda: Breath of the Wild – Creating a Champion
424,7th Annual Interactive Achievement Awards
425,Draft:List of Youngblood Characters
426,Three (comics)
427,D.I.C.E. Award for Fighting Game of the Year
428,Massive-Verse
